filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F115W,1.154,0.225,2022-06-29T04:55:34.974Z,NRCB3,2048,2048,0.0767019987106323,0.0764575,jw01324001001_11201_00002_nrcb3_rate.fits,1,1,NIRCAM,1159.571,3.1863,0.2443955784916877
F115W,1.154,0.225,2022-06-29T06:06:37.447Z,NRCB3,2048,2048,0.0805961638689041,0.080832094,jw01324001001_12201_00001_nrcb3_rate.fits,1,1,NIRCAM,311.366,3.1863,0.2568035569354891
F115W,1.154,0.225,2022-06-29T05:41:45.019Z,NRCB2,2048,2048,0.07705265,0.07673681,jw01324001001_11201_00004_nrcb2_rate.fits,1,1,NIRCAM,1159.571,3.1282,0.24103609973
F444W,4.408,1.029,2022-06-29T01:53:03.574Z,NRCALONG,2048,2048,0.7464776039123535,0.7482554,jw01324001001_06201_00001_nrcalong_rate.fits,1,1,NIRCAM,311.366,0.3925,0.29299245953559877
F444W,4.408,1.029,2022-06-29T04:08:52.686Z,NRCBLONG,2048,2048,0.7717757225036621,0.7705369,jw01324001001_10201_00002_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.3728,0.28771798934936527
F200W,1.989,0.457,2022-06-29T08:47:08.516Z,NRCA1,2048,2048,0.0854421406984329,0.08513465,jw01324001001_17201_00001_nrca1_rate.fits,1,1,NIRCAM,1159.571,1.8917,0.1616308975592255
F090W,0.902,0.194,2022-06-29T01:05:05.995Z,NRCB1,2048,2048,0.0643426179885864,0.064187594,jw01324001001_05201_00003_nrcb1_rate.fits,1,1,NIRCAM,1159.571,3.564,0.22931709051132193
F090W,0.902,0.194,2022-06-29T00:42:01.101Z,NRCA3,2048,2048,0.0725692361593246,0.07242864,jw01324001001_05201_00002_nrca3_rate.fits,1,1,NIRCAM,1159.571,2.954,0.2143695236146449
F090W,0.902,0.194,2022-06-28T23:55:08.061Z,NRCA4,2048,2048,0.08054203,0.080614425,jw01324001001_04201_00002_nrca4_rate.fits,1,1,NIRCAM,311.366,2.9096,0.234345090488
F444W,4.408,1.029,2022-06-29T02:50:51.589Z,NRCALONG,2048,2048,0.791764497756958,0.7974233,jw01324001001_09201_00002_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.3925,0.31076756536960604
F090W,0.902,0.194,2022-06-28T23:22:44.689Z,NRCA1,2048,2048,0.06960543,0.069523945,jw01324001001_03201_00004_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9961,0.208544828823
F115W,1.154,0.225,2022-06-29T06:13:47.143Z,NRCA2,2048,2048,0.074596174,0.07458268,jw01324001001_12201_00002_nrca2_rate.fits,1,1,NIRCAM,311.366,3.1012,0.2313376548088
F115W,1.154,0.225,2022-06-29T03:36:50.946Z,NRCA2,2048,2048,0.0696947574615478,0.069549516,jw01324001001_09201_00004_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.1012,0.21613738183975204
F200W,1.989,0.457,2022-06-29T09:33:07.873Z,NRCA2,2048,2048,0.0951334312558174,0.09486849,jw01324001001_17201_00003_nrca2_rate.fits,1,1,NIRCAM,1159.571,2.0807,0.1979441304139793
F090W,0.902,0.194,2022-06-29T00:18:55.886Z,NRCB2,2048,2048,0.0669632703065872,0.06673286,jw01324001001_05201_00001_nrcb2_rate.fits,1,1,NIRCAM,1159.571,3.4274,0.229509912648797
F200W,1.989,0.457,2022-06-29T10:35:24.012Z,NRCB3,2048,2048,0.09336054,0.09287616,jw01324001001_18201_00003_nrcb3_rate.fits,1,1,NIRCAM,311.366,1.9572,0.182725248888
F200W,1.989,0.457,2022-06-29T10:28:14.764Z,NRCA1,2048,2048,0.08985212,0.089416414,jw01324001001_18201_00002_nrca1_rate.fits,1,1,NIRCAM,311.366,1.8917,0.169973255404
F090W,0.902,0.194,2022-06-28T23:55:07.869Z,NRCB1,2048,2048,0.0605904757976532,0.060194846,jw01324001001_04201_00002_nrcb1_rate.fits,1,1,NIRCAM,311.366,3.564,0.215944455742836
F150W,1.501,0.318,2022-06-29T07:50:13.991Z,NRCB2,2048,2048,0.10570604,0.105038576,jw01324001001_15201_00004_nrcb2_rate.fits,1,1,NIRCAM,1159.571,2.3054,0.243694704616
F090W,0.902,0.194,2022-06-29T00:02:17.501Z,NRCA3,2048,2048,0.0773106962442398,0.07752747,jw01324001001_04201_00003_nrca3_rate.fits,1,1,NIRCAM,311.366,2.954,0.22837579670548436
F200W,1.989,0.457,2022-06-29T08:47:08.324Z,NRCB4,2048,2048,0.105644,0.10472872,jw01324001001_17201_00001_nrcb4_rate.fits,1,1,NIRCAM,1159.571,1.7715,0.18714834600000002
F150W,1.501,0.318,2022-06-29T08:15:06.356Z,NRCB3,2048,2048,0.10882702,0.10820752,jw01324001001_16201_00001_nrcb3_rate.fits,1,1,NIRCAM,311.366,2.3518,0.255939385636
F090W,0.902,0.194,2022-06-29T01:05:06.123Z,NRCA4,2048,2048,0.0753587856888771,0.07518336,jw01324001001_05201_00003_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.9096,0.21926392284035684
F444W,4.408,1.029,2022-06-29T02:27:46.374Z,NRCBLONG,2048,2048,0.7732256650924683,0.77419734,jw01324001001_09201_00001_nrcblong_rate.fits,1,1,NIRCAM,1159.571,0.3728,0.28825852794647217
F444W,4.408,1.029,2022-06-29T04:01:43.375Z,NRCALONG,2048,2048,0.74074817,0.743173,jw01324001001_10201_00001_nrcalong_rate.fits,1,1,NIRCAM,311.366,0.3925,0.290743656725
F444W,4.408,1.029,2022-06-29T02:00:12.950Z,NRCBLONG,2048,2048,0.7785229,0.77755934,jw01324001001_06201_00002_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.3728,0.29023333712000005
F150W,1.501,0.318,2022-06-29T08:22:16.051Z,NRCA2,2048,2048,0.0931815281510353,0.093134016,jw01324001001_16201_00002_nrca2_rate.fits,1,1,NIRCAM,311.366,2.3836,0.22210749050080772
F200W,1.989,0.457,2022-06-29T10:28:14.572Z,NRCB4,2048,2048,0.1091491132974624,0.10805386,jw01324001001_18201_00002_nrcb4_rate.fits,1,1,NIRCAM,311.366,1.7715,0.19335765420645465
F356W,3.568,0.781,2022-06-29T08:29:46.803Z,NRCBLONG,2048,2048,0.2902176976203918,0.28803062,jw01324001001_16201_00003_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.376,0.10912185430526732
F090W,0.902,0.194,2022-06-28T23:22:44.561Z,NRCB4,2048,2048,0.0732172057032585,0.0728229,jw01324001001_03201_00004_nrcb4_rate.fits,1,1,NIRCAM,1159.571,3.0434,0.22282924383729694
F444W,4.408,1.029,2022-06-29T02:50:51.461Z,NRCBLONG,2048,2048,0.8217216,0.82607836,jw01324001001_09201_00002_nrcblong_rate.fits,1,1,NIRCAM,1159.571,0.3728,0.30633781248
F090W,0.902,0.194,2022-06-28T22:59:39.539Z,NRCB4,2048,2048,0.07642609,0.07603972,jw01324001001_03201_00003_nrcb4_rate.fits,1,1,NIRCAM,1159.571,3.0434,0.23259516230600003
F115W,1.154,0.225,2022-06-29T04:01:43.375Z,NRCA3,2048,2048,0.082395352423191,0.08239288,jw01324001001_10201_00001_nrca3_rate.fits,1,1,NIRCAM,311.366,2.9486,0.24295093615502097
F115W,1.154,0.225,2022-06-29T04:32:40.831Z,NRCA4,2048,2048,0.08719571,0.08695996,jw01324001001_11201_00001_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.7757,0.24202913224699998
F444W,4.408,1.029,2022-06-29T01:53:03.446Z,NRCBLONG,2048,2048,0.774412989616394,0.77327704,jw01324001001_06201_00001_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.3728,0.2887011625289917
F444W,4.408,1.029,2022-06-29T04:08:52.814Z,NRCALONG,2048,2048,0.7461534,0.7484652,jw01324001001_10201_00002_nrcalong_rate.fits,1,1,NIRCAM,311.366,0.3925,0.2928652095
F150W,1.501,0.318,2022-06-29T06:41:20.300Z,NRCB1,2048,2048,0.10245101,0.10218139,jw01324001001_15201_00001_nrcb1_rate.fits,1,1,NIRCAM,1159.571,2.4124,0.24715281652399998
F090W,0.902,0.194,2022-06-29T02:00:12.950Z,NRCB4,2048,2048,0.0666793212294578,0.06628716,jw01324001001_06201_00002_nrcb4_rate.fits,1,1,NIRCAM,311.366,3.0434,0.20293184622973187
F115W,1.154,0.225,2022-06-29T04:08:52.622Z,NRCB2,2048,2048,0.0729061514139175,0.072877236,jw01324001001_10201_00002_nrcb2_rate.fits,1,1,NIRCAM,311.366,3.1282,0.22806502285301672
F090W,0.902,0.194,2022-06-29T01:28:00.458Z,NRCA4,2048,2048,0.0741230249404907,0.073945954,jw01324001001_05201_00004_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.9096,0.21566835336685175
F090W,0.902,0.194,2022-06-29T00:09:27.004Z,NRCA3,2048,2048,0.0694966316223144,0.06975068,jw01324001001_04201_00004_nrca3_rate.fits,1,1,NIRCAM,311.366,2.954,0.20529304981231675
F115W,1.154,0.225,2022-06-29T02:18:38.805Z,NRCB3,2048,2048,0.0793934911489486,0.07961637,jw01324001001_08201_00001_nrcb3_rate.fits,1,1,NIRCAM,311.366,3.1863,0.25297148084789495
F150W,1.501,0.318,2022-06-29T07:27:19.657Z,NRCB2,2048,2048,0.10476592,0.10410189,jw01324001001_15201_00003_nrcb2_rate.fits,1,1,NIRCAM,1159.571,2.3054,0.24152735196800001
F115W,1.154,0.225,2022-06-29T02:27:46.374Z,NRCB4,2048,2048,0.0873796,0.08694796,jw01324001001_09201_00001_nrcb4_rate.fits,1,1,NIRCAM,1159.571,2.6985,0.23579385060000002
F090W,0.902,0.194,2022-06-29T02:00:13.078Z,NRCA1,2048,2048,0.0701419115066528,0.07013952,jw01324001001_06201_00002_nrca1_rate.fits,1,1,NIRCAM,311.366,2.9961,0.2101521810650825
F444W,4.408,1.029,2022-06-29T04:01:43.183Z,NRCBLONG,2048,2048,0.77193147,0.7706465,jw01324001001_10201_00001_nrcblong_rate.fits,1,1,NIRCAM,311.366,0.3728,0.287776052016
F444W,4.408,1.029,2022-06-29T02:00:13.078Z,NRCALONG,2048,2048,0.7397137,0.74219036,jw01324001001_06201_00002_nrcalong_rate.fits,1,1,NIRCAM,311.366,0.3925,0.29033762725
