filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F115W 1.154 0.225 2022-06-29T04:23:11.757Z NRCA4 2048 2048 0.08852183818817139 0.08811276 jw01324001001_10201_00004_nrca4_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-29T06:06:37.639Z NRCALONG 2048 2048 0.7427469491958618 0.7445891 jw01324001001_12201_00001_nrcalong_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-28T23:55:07.933Z NRCBLONG 2048 2048 0.7752507925033569 0.7741755 jw01324001001_04201_00002_nrcblong_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T10:20:54.573Z NRCA1 2048 2048 0.095072106 0.09453017 jw01324001001_18201_00001_nrca1_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T00:42:00.909Z NRCB2 2048 2048 0.06706894934177399 0.06680821 jw01324001001_05201_00002_nrcb2_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T06:20:56.583Z NRCA1 2048 2048 0.07233316 0.07246653 jw01324001001_12201_00003_nrca1_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T06:13:46.951Z NRCB3 2048 2048 0.06873083859682083 0.06831248 jw01324001001_12201_00002_nrcb3_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T03:36:50.754Z NRCB3 2048 2048 0.07398502 0.073740505 jw01324001001_09201_00004_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T23:47:58.558Z NRCA4 2048 2048 0.07847343385219574 0.07857404 jw01324001001_04201_00001_nrca4_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T09:33:07.617Z NRCB3 2048 2048 0.09770920872688293 0.09722019 jw01324001001_17201_00003_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F150W 1.501 0.318 2022-06-29T08:29:46.803Z NRCB4 2048 2048 0.11008431762456894 0.10961641 jw01324001001_16201_00003_nrcb4_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T10:35:24.268Z NRCA2 2048 2048 0.100250736 0.099811256 jw01324001001_18201_00003_nrca2_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T00:18:56.014Z NRCA3 2048 2048 0.07280583 0.07262184 jw01324001001_05201_00001_nrca3_rate.fits 001 001 NIRCAM 1159.571
F200W 1.989 0.457 2022-06-29T09:10:13.539Z NRCA1 2048 2048 0.09658428 0.09638387 jw01324001001_17201_00002_nrca1_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T01:28:00.458Z NRCA1 2048 2048 0.06232593208551407 0.062300548 jw01324001001_05201_00004_nrca1_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T02:27:46.374Z NRCB1 2048 2048 0.07585379481315613 0.075663455 jw01324001001_09201_00001_nrcb1_rate.fits 001 001 NIRCAM 1159.571
F444W 4.408 1.029 2022-06-29T02:07:22.581Z NRCALONG 2048 2048 0.7409937381744385 0.74297935 jw01324001001_06201_00003_nrcalong_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-28T22:13:50.869Z NRCB2 2048 2048 0.06647569 0.06623721 jw01324001001_03201_00001_nrcb2_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T05:18:29.436Z NRCA2 2048 2048 0.08002934 0.079903625 jw01324001001_11201_00003_nrca2_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T02:00:12.886Z NRCB1 2048 2048 0.06280346 0.062500596 jw01324001001_06201_00002_nrcb1_rate.fits 001 001 NIRCAM 311.366
F356W 3.568 0.781 2022-06-29T08:22:16.115Z NRCALONG 2048 2048 0.26396945 0.26365054 jw01324001001_16201_00002_nrcalong_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T09:56:01.952Z NRCB2 2048 2048 0.09757006913423538 0.09702943 jw01324001001_17201_00004_nrcb2_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T02:07:22.517Z NRCA3 2048 2048 0.07189578 0.07224275 jw01324001001_06201_00003_nrca3_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T06:41:20.364Z NRCB4 2048 2048 0.11892905086278915 0.11823675 jw01324001001_15201_00001_nrcb4_rate.fits 001 001 NIRCAM 1159.571
F150W 1.501 0.318 2022-06-29T06:32:12.730Z NRCB3 2048 2048 0.10427759 0.10359478 jw01324001001_14201_00001_nrcb3_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T03:13:56.484Z NRCB2 2048 2048 0.07862381637096405 0.07826206 jw01324001001_09201_00003_nrcb2_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:36:45.332Z NRCA3 2048 2048 0.07573270052671432 0.07549252 jw01324001001_03201_00002_nrca3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:59:39.475Z NRCB1 2048 2048 0.062779166 0.06273318 jw01324001001_03201_00003_nrcb1_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T04:32:40.831Z NRCA1 2048 2048 0.078423165 0.07831918 jw01324001001_11201_00001_nrca1_rate.fits 001 001 NIRCAM 1159.571
F444W 4.408 1.029 2022-06-29T04:16:02.318Z NRCALONG 2048 2048 0.7537326216697693 0.7563166 jw01324001001_10201_00003_nrcalong_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T04:08:52.814Z NRCA2 2048 2048 0.07898437231779099 0.079241425 jw01324001001_10201_00002_nrca2_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-29T03:13:56.484Z NRCBLONG 2048 2048 0.7774605751037598 0.7784073 jw01324001001_09201_00003_nrcblong_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T01:28:00.330Z NRCB4 2048 2048 0.07267467677593231 0.07233344 jw01324001001_05201_00004_nrcb4_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T00:09:26.876Z NRCB3 2048 2048 0.06488839 0.06453478 jw01324001001_04201_00004_nrcb3_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T07:27:19.849Z NRCA2 2048 2048 0.10862349 0.108417206 jw01324001001_15201_00003_nrca2_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T02:18:38.997Z NRCA3 2048 2048 0.086485766 0.08614801 jw01324001001_08201_00001_nrca3_rate.fits 001 001 NIRCAM 311.366
