filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F200W,1.989,0.457,2022-06-07T07:06:25.622Z,NRCB1,2048,2048,0.0840349718928337,0.08289999,jw02736001001_02105_00008_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.0223,0.1699439236588776
F200W,1.989,0.457,2022-06-07T05:49:28.794Z,NRCB3,2048,2048,0.0845216810703277,0.08355043,jw02736001001_02105_00003_nrcb3_rate.fits,1,1,NIRCAM,837.468,1.9572,0.1654258341908454
F200W,1.989,0.457,2022-06-07T07:21:49.333Z,NRCA3,2048,2048,0.0833204612135887,0.08283597,jw02736001001_02105_00009_nrca3_rate.fits,1,1,NIRCAM,837.468,1.8281,0.1523181351445615
F200W,1.989,0.457,2022-06-07T05:33:55.035Z,NRCA1,2048,2048,0.079907052218914,0.079390734,jw02736001001_02105_00002_nrca1_rate.fits,1,1,NIRCAM,837.468,1.8917,0.1511601706825196
F150W,1.501,0.318,2022-06-07T03:42:57.890Z,NRCB2,2048,2048,0.08500567,0.08412711,jw02736001001_02103_00004_nrcb2_rate.fits,1,1,NIRCAM,837.468,2.3054,0.195972071618
F090W,0.902,0.194,2022-06-07T01:21:03.658Z,NRCB4,2048,2048,0.0619227737188339,0.061477333,jw02736001001_02101_00004_nrcb4_rate.fits,1,1,NIRCAM,837.468,3.0434,0.1884557695358991
F150W,1.501,0.318,2022-06-07T04:29:08.319Z,NRCA3,2048,2048,0.0854268223047256,0.085127346,jw02736001001_02103_00007_nrca3_rate.fits,1,1,NIRCAM,837.468,2.2037,0.1882550883129238
F150W,1.501,0.318,2022-06-07T04:13:44.608Z,NRCB1,2048,2048,0.08400409668684,0.08310731,jw02736001001_02103_00006_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.4124,0.2026514828473328
F200W,1.989,0.457,2022-06-07T06:51:02.550Z,NRCA2,2048,2048,0.076969355,0.07679655,jw02736001001_02105_00007_nrca2_rate.fits,1,1,NIRCAM,837.468,2.0807,0.16015013694850003
F150W,1.501,0.318,2022-06-07T02:56:26.340Z,NRCB1,2048,2048,0.088090643286705,0.08703821,jw02736001001_02103_00001_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.4124,0.21250986786484713
F090W,0.902,0.194,2022-06-07T02:38:00.741Z,NRCA4,2048,2048,0.0637005865573883,0.063497975,jw02736001001_02101_00009_nrca4_rate.fits,1,1,NIRCAM,837.468,2.9096,0.185343226647377
F090W,0.902,0.194,2022-06-07T01:05:40.267Z,NRCB4,2048,2048,0.061908275,0.06159187,jw02736001001_02101_00003_nrcb4_rate.fits,1,1,NIRCAM,837.468,3.0434,0.188411644135
