filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,PHOTMJSR,sb_mjsr
F356W,3.568,0.781,2022-05-02T19:20:49.726Z,NRCBLONG,2048,2048,10.192479133605955,8.806607,jw01448001001_06101_00002_nrcblong_rate.fits,1,1,NIRCAM,0.376,3.832372154235839
F200W,1.989,0.457,2022-05-05T23:58:33.200Z,NRCB2,2048,2048,0.08699531853199,0.08643424,jw01448003001_04101_00001_nrcb2_rate.fits,3,1,NIRCAM,1.9519,0.16980616224259126
F150W,1.501,0.318,2022-04-29T12:16:18.124Z,NRCB4,2048,2048,0.2406615167856216,0.24033472,jw01448007001_08101_00002_nrcb4_rate.fits,7,1,NIRCAM,2.0288,0.48825408525466907
F200W,1.989,0.457,2022-04-29T06:47:23.231Z,NRCB3,2048,2048,0.0737960934638977,0.07320321,jw01448002001_04101_00001_nrcb3_rate.fits,2,1,NIRCAM,1.9572,0.14443371412754058
F200W,1.989,0.457,2022-05-03T00:30:20.716Z,NRCB1,2048,2048,0.08668233,0.08518459,jw01448005001_04101_00003_nrcb1_rate.fits,5,1,NIRCAM,2.0223,0.175297675959
F115W,1.154,0.225,2022-05-06T05:46:37.148Z,NRCB1,2048,2048,0.046430837,0.04505336,jw01448006001_06101_00003_nrcb1_rate.fits,6,1,NIRCAM,3.2719,0.1519170555803
F480M,4.874,0.3,2022-05-06T03:38:45.155Z,NRCBLONG,2048,2048,0.2814825177192688,0.28052345,jw01448004001_08101_00003_nrcblong_rate.fits,4,1,NIRCAM,1.4584,0.4105141038417816
F070W,0.704,0.132,2022-04-29T09:23:21.046Z,NRCB3,2048,2048,0.12138835,0.119310044,jw01448008001_02101_00003_nrcb3_rate.fits,8,1,NIRCAM,4.4344,0.53828449924
F115W,1.154,0.225,2022-05-02T19:16:53.502Z,NRCB3,2048,2048,0.3050374,0.2981464,jw01448001001_06101_00001_nrcb3_rate.fits,1,1,NIRCAM,3.1863,0.9719406676200001
F115W,1.154,0.225,2022-04-29T09:50:43.796Z,NRCB4,2048,2048,0.4308235,0.40086544,jw01448008001_06101_00002_nrcb4_rate.fits,8,1,NIRCAM,2.6985,1.1625772147500002
F070W,0.704,0.132,2022-04-29T11:25:18.095Z,NRCB3,2048,2048,0.094307095,0.09380129,jw01448007001_02101_00001_nrcb3_rate.fits,7,1,NIRCAM,4.4344,0.418195382068
F150W,1.501,0.318,2022-05-02T19:36:02.365Z,NRCB4,2048,2048,0.6817179,0.6368232,jw01448001001_08101_00002_nrcb4_rate.fits,1,1,NIRCAM,2.0288,1.38306927552
F200W,1.989,0.457,2022-05-03T00:22:28.332Z,NRCB2,2048,2048,0.09237812,0.09158016,jw01448005001_04101_00001_nrcb2_rate.fits,5,1,NIRCAM,1.9519,0.180312852428
F150W,1.501,0.318,2022-04-29T12:20:14.348Z,NRCB3,2048,2048,0.19180821,0.19119905,jw01448007001_08101_00003_nrcb3_rate.fits,7,1,NIRCAM,2.3518,0.451094548278
F115W,1.154,0.225,2022-05-06T05:38:44.764Z,NRCB2,2048,2048,0.057283904,0.05599127,jw01448006001_06101_00001_nrcb2_rate.fits,6,1,NIRCAM,3.1282,0.1791955084928
F150W,1.501,0.318,2022-04-29T10:02:10.964Z,NRCB3,2048,2048,0.75946844,0.68053305,jw01448008001_08101_00001_nrcb3_rate.fits,8,1,NIRCAM,2.3518,1.7861178771919999
F444W,4.408,1.029,2022-05-06T00:06:25.584Z,NRCBLONG,2048,2048,0.58884436,0.5869743,jw01448003001_04101_00003_nrcblong_rate.fits,3,1,NIRCAM,0.3728,0.219521177408
F070W,0.704,0.132,2022-04-29T06:35:56.064Z,NRCB3,2048,2048,0.0413051471114158,0.04050931,jw01448002001_02101_00002_nrcb3_rate.fits,2,1,NIRCAM,4.4344,0.18316354435086224
F070W,0.704,0.132,2022-05-06T02:51:41.414Z,NRCB4,2048,2048,0.05305307,0.05248525,jw01448004001_02101_00003_nrcb4_rate.fits,4,1,NIRCAM,3.798,0.20149555986
F480M,4.874,0.3,2022-04-29T12:20:14.348Z,NRCBLONG,2048,2048,0.65228397,0.65119034,jw01448007001_08101_00003_nrcblong_rate.fits,7,1,NIRCAM,1.4584,0.951290941848
F200W,1.989,0.457,2022-05-02T19:08:50.366Z,NRCB4,2048,2048,1.1858668327331543,1.0211189,jw01448001001_04101_00003_nrcb4_rate.fits,1,1,NIRCAM,1.7715,2.100763094186783
F115W,1.154,0.225,2022-05-06T03:19:25.605Z,NRCB3,2048,2048,0.057782095,0.057061337,jw01448004001_06101_00002_nrcb3_rate.fits,4,1,NIRCAM,3.1863,0.1841110892985
F115W,1.154,0.225,2022-04-29T07:11:22.014Z,NRCB4,2048,2048,0.046655226,0.045822483,jw01448002001_06101_00003_nrcb4_rate.fits,2,1,NIRCAM,2.6985,0.125899127361
F200W,1.989,0.457,2022-04-29T11:44:37.646Z,NRCB3,2048,2048,0.1744606792926788,0.17367508,jw01448007001_04101_00002_nrcb3_rate.fits,7,1,NIRCAM,1.9572,0.34145444151163096
F070W,0.704,0.132,2022-05-03T00:11:01.165Z,NRCB2,2048,2048,0.05636655,0.055936404,jw01448005001_02101_00002_nrcb2_rate.fits,5,1,NIRCAM,4.3669,0.24614708719500003
F444W,4.408,1.029,2022-04-29T09:34:48.213Z,NRCBLONG,2048,2048,7.177219390869141,6.3598576,jw01448008001_04101_00002_nrcblong_rate.fits,8,1,NIRCAM,0.3728,2.6756673889160156
F115W,1.154,0.225,2022-05-06T00:18:35.695Z,NRCB2,2048,2048,0.0354168787598609,0.034627844,jw01448003001_06101_00002_nrcb2_rate.fits,3,1,NIRCAM,3.1282,0.11079108013659687
F150W,1.501,0.318,2022-05-03T00:57:54.218Z,NRCB1,2048,2048,0.0792948007583618,0.07828636,jw01448005001_08101_00002_nrcb1_rate.fits,5,1,NIRCAM,2.4124,0.191290777349472
F150W,1.501,0.318,2022-05-06T03:30:52.772Z,NRCB4,2048,2048,0.0632046088576316,0.06254455,jw01448004001_08101_00001_nrcb4_rate.fits,4,1,NIRCAM,2.0288,0.128229510450363
F115W,1.154,0.225,2022-05-06T03:23:21.828Z,NRCB4,2048,2048,0.0533630587160587,0.052346256,jw01448004001_06101_00003_nrcb4_rate.fits,4,1,NIRCAM,2.6985,0.14400021394528442
