filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,sb_mjsr
F770W,7.7,2.2,2022-05-06T02:59:17.826Z,MIRIMAGE,1024,1032,5.243871688842773,5.246108055114746,jw01448004001_04201_00001_mirimage_fixed_cal.fits,4,1,MIRI,5.243871688842773
F770W,7.7,2.2,2022-05-06T00:06:32.844Z,MIRIMAGE,1024,1032,4.998671531677246,5.001091480255127,jw01448003001_04201_00003_mirimage_fixed_cal.fits,3,1,MIRI,4.998671531677246
F770W,7.7,2.2,2022-05-06T03:03:22.049Z,MIRIMAGE,1024,1032,5.277617692947388,5.279783725738525,jw01448004001_04201_00002_mirimage_fixed_cal.fits,4,1,MIRI,5.277617692947388
F770W,7.7,2.2,2022-04-29T11:44:42.154Z,MIRIMAGE,1024,1032,13.092029571533203,13.093153953552246,jw01448007001_04201_00002_mirimage_fixed_cal.fits,7,1,MIRI,13.092029571533203
F770W,7.7,2.2,2022-04-29T09:30:50.993Z,MIRIMAGE,1024,1032,63.084259033203125,63.16932678222656,jw01448008001_04201_00001_mirimage_fixed_cal.fits,8,1,MIRI,63.084259033203125
F770W,7.7,2.2,2022-05-02T19:05:01.211Z,MIRIMAGE,1024,1032,80.37022018432617,77.20303726196289,jw01448001001_04201_00002_mirimage_fixed_cal.fits,1,1,MIRI,80.37022018432617
F770W,7.7,2.2,2022-04-29T06:51:25.179Z,MIRIMAGE,1024,1032,5.045274019241333,5.0457234382629395,jw01448002001_04201_00002_mirimage_fixed_cal.fits,2,1,MIRI,5.045274019241333
F770W,7.7,2.2,2022-05-06T00:02:31.372Z,MIRIMAGE,1024,1032,4.988527536392212,4.9909772872924805,jw01448003001_04201_00002_mirimage_fixed_cal.fits,3,1,MIRI,4.988527536392212
F770W,7.7,2.2,2022-04-29T09:38:48.305Z,MIRIMAGE,1024,1032,63.304813385009766,63.39211082458496,jw01448008001_04201_00003_mirimage_fixed_cal.fits,8,1,MIRI,63.304813385009766
F770W,7.7,2.2,2022-05-06T05:26:42.105Z,MIRIMAGE,1024,1032,5.225691556930542,5.227461338043213,jw01448006001_04201_00002_mirimage_fixed_cal.fits,6,1,MIRI,5.225691556930542
