filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F200W 1.989 0.457 2022-08-26T04:32:38.827Z NRCA2 2048 2048 0.061028644 0.060955264 jw02738002001_12101_00004_nrca2_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T02:08:14.268Z NRCA1 2048 2048 0.07881376147270203 0.07855454 jw02738002001_06101_00003_nrca1_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T01:59:49.564Z NRCB3 2048 2048 0.07120729982852936 0.07065969 jw02738002001_06101_00002_nrcb3_rate.fits 002 001 NIRCAM 418.734
F277W 2.762 0.683 2022-08-26T02:46:31.921Z NRCALONG 2048 2048 0.16269906 0.16241279 jw02738002001_08101_00003_nrcalong_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T01:32:59.127Z NRCA4 2048 2048 0.0566914826631546 0.05645315 jw02738002001_04101_00004_nrca4_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T02:29:31.824Z NRCB4 2048 2048 0.07514403760433197 0.07433066 jw02738002001_08101_00001_nrcb4_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T01:51:25.052Z NRCA2 2048 2048 0.07196855 0.071586296 jw02738002001_06101_00001_nrca2_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T01:19:23.128Z NRCA4 2048 2048 0.060361218 0.06014083 jw02738002001_04101_00003_nrca4_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T04:07:14.221Z NRCA1 2048 2048 0.06824663 0.06783766 jw02738002001_12101_00001_nrca1_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-30T04:23:38.890Z NRCB4 2048 2048 0.08329815417528152 0.08260731 jw02738002002_02101_00001_nrcb4_rate.fits 002 002 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T02:16:38.907Z NRCA1 2048 2048 0.07435854 0.07396084 jw02738002001_06101_00004_nrca1_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:24:14.188Z NRCA2 2048 2048 0.06119045615196228 0.061060674 jw02738002001_12101_00003_nrca2_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T00:39:07.265Z NRCB4 2048 2048 0.09088196 0.09015547 jw02738002001_02101_00004_nrcb4_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:07:14.093Z NRCB4 2048 2048 0.07234632223844528 0.071466714 jw02738002001_12101_00001_nrcb4_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-30T04:23:38.890Z NRCA1 2048 2048 0.07579115 0.07535212 jw02738002002_02101_00001_nrca1_rate.fits 002 002 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:49:09.671Z NRCB2 2048 2048 0.05633186 0.05613822 jw02738002001_10101_00004_nrcb2_rate.fits 002 001 NIRCAM 730.1
F090W 0.902 0.194 2022-08-26T01:19:23.000Z NRCB1 2048 2048 0.046831995248794556 0.04669276 jw02738002001_04101_00003_nrcb1_rate.fits 002 001 NIRCAM 730.1
F090W 0.902 0.194 2022-08-26T01:05:47.129Z NRCA3 2048 2048 0.058081225 0.05780071 jw02738002001_04101_00002_nrca3_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:39:07.329Z NRCA1 2048 2048 0.083952755 0.08364579 jw02738002001_02101_00004_nrca1_rate.fits 002 001 NIRCAM 418.734
F277W 2.762 0.683 2022-08-26T02:46:31.729Z NRCBLONG 2048 2048 0.1857508420944214 0.18469967 jw02738002001_08101_00003_nrcblong_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T02:16:38.843Z NRCB4 2048 2048 0.08083672 0.08006793 jw02738002001_06101_00004_nrcb4_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:54:56.561Z NRCA2 2048 2048 0.07091935 0.07058984 jw02738002001_08101_00004_nrca2_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T00:52:11.002Z NRCB2 2048 2048 0.048700858 0.04854473 jw02738002001_04101_00001_nrcb2_rate.fits 002 001 NIRCAM 730.1
F356W 3.568 0.781 2022-08-26T00:30:42.689Z NRCALONG 2048 2048 0.21748760342597961 0.21731679 jw02738002001_02101_00003_nrcalong_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:46:31.793Z NRCB1 2048 2048 0.07111924 0.0707075 jw02738002001_08101_00003_nrcb1_rate.fits 002 001 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T02:37:56.530Z NRCA3 2048 2048 0.07084272801876068 0.070304185 jw02738002001_08101_00002_nrca3_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T00:30:42.625Z NRCB2 2048 2048 0.07334163039922714 0.072910845 jw02738002001_02101_00003_nrcb2_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:07:49.610Z NRCA2 2048 2048 0.05323315 0.0530689 jw02738002001_10101_00001_nrca2_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T04:32:38.827Z NRCA4 2048 2048 0.07463426887989044 0.07415546 jw02738002001_12101_00004_nrca4_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T01:32:59.127Z NRCA2 2048 2048 0.05117156356573105 0.051046368 jw02738002001_04101_00004_nrca2_rate.fits 002 001 NIRCAM 730.1
F444W 4.408 1.029 2022-08-26T00:52:11.002Z NRCBLONG 2048 2048 0.69180286 0.69194824 jw02738002001_04101_00001_nrcblong_rate.fits 002 001 NIRCAM 730.1
F277W 2.762 0.683 2022-08-26T04:15:49.548Z NRCALONG 2048 2048 0.15897019 0.15875363 jw02738002001_12101_00002_nrcalong_rate.fits 002 001 NIRCAM 418.734
